Applied potential (V);WE current (A);WE current (A);WE current (A)
-0.017783200000000002;-3.7519800000000004e-10;-7.72796e-10;-3.9759800000000004e-10
-0.022525388;-4.4799800000000004e-10;-7.72796e-10;-3.2479800000000004e-10
-0.027267574000000003;-5.095970000000001e-10;-7.503960000000001e-10;-2.40798e-10
-0.032009762000000004;-5.375970000000001e-10;-7.055960000000001e-10;-1.67999e-10
-0.036751948;-5.375970000000001e-10;-6.383970000000001e-10;-1.0079900000000001e-10
-0.041494136;-5.095970000000001e-10;-5.54397e-10;-4.4799808e-11
-0.046236324;-4.70397e-10;-4.70397e-10;0.0
-0.050978512000000004;-4.2559800000000004e-10;-3.91998e-10;3.3599856e-11
-0.055720696;-3.8079800000000005e-10;-3.2479800000000004e-10;5.5999760000000004e-11
-0.060462884;-3.30398e-10;-2.57598e-10;7.279968800000001e-11
-0.065205068;-2.7439800000000004e-10;-1.9039900000000003e-10;8.399964e-11
-0.069947256;-2.18399e-10;-1.28799e-10;8.9599616e-11
-0.074689448;-1.56799e-10;-6.1599736e-11;9.51996e-11
-0.079431632;-1.17599e-10;-2.2399904e-11;9.51996e-11
-0.08417382400000001;-3.9199832000000004e-11;3.9199832000000004e-11;7.839966400000001e-11
-0.08891600000000001;-6.1599736e-11;6.1599736e-11;1.2319900000000002e-10
-0.093658192;-1.39999e-10;1.1199952e-11;1.5119900000000002e-10
-0.09840038400000001;-1.56799e-10;-4.4799808e-11;1.11999e-10
-0.103142;-2.35198e-10;-7.839966400000001e-11;1.56799e-10
-0.107884;-1.45599e-10;-1.39999e-10;5.599976e-12
-0.11262599999999999;-1.56799e-10;-1.7359900000000002e-10;-1.6799928e-11
-0.117369;-1.6239900000000002e-10;-1.56799e-10;5.599976e-12
-0.122111;-1.3439900000000001e-10;-1.56799e-10;-2.2399904e-11
-0.126853;-7.839966400000001e-11;-1.3439900000000001e-10;-5.5999760000000004e-11
-0.131595;-2.7999882000000003e-11;-1.0079900000000001e-10;-7.279968800000001e-11
-0.13633699999999999;3.9199832000000004e-11;-2.2399904e-11;-6.1599736e-11
-0.14107999999999998;2.7999880000000002e-11;0.0;-2.7999880000000002e-11
-0.145822;2.7999880000000002e-11;5.599976e-12;-2.2399904e-11
-0.150564;3.3599856e-11;3.3599856e-11;0.0
-0.155306;7.279968800000001e-11;7.279968800000001e-11;0.0
-0.160048;1.56799e-10;8.399964e-11;-7.279968800000001e-11
-0.164791;2.63198e-10;5.0399784000000006e-11;-2.1279900000000002e-10
-0.169533;3.13598e-10;-5.5999760000000004e-11;-3.6959800000000003e-10
-0.17427499999999999;3.35998e-10;-1.79199e-10;-5.15197e-10
-0.17901699999999998;3.13598e-10;-3.35998e-10;-6.495970000000001e-10
-0.18375899999999998;2.2959800000000002e-10;-5.31997e-10;-7.615960000000001e-10
-0.188501;1.8479900000000002e-10;-6.55197e-10;-8.399960000000001e-10
-0.193244;1.45599e-10;-7.44796e-10;-8.903960000000001e-10
-0.197986;7.2799656e-11;-8.679960000000001e-10;-9.407950000000002e-10
-0.202728;1.1199931000000001e-11;-9.63195e-10;-9.743950000000001e-10
-0.20747;-4.4799832e-11;-1.0303950000000001e-09;-9.85595e-10
-0.21221199999999998;-1.2319900000000002e-10;-1.080795e-09;-9.575950000000001e-10
-0.21695499999999998;-2.2399900000000002e-10;-1.1199950000000001e-09;-8.959960000000001e-10
-0.22169699999999998;-3.35998e-10;-1.1423950000000002e-09;-8.063960000000001e-10
-0.226439;-4.64797e-10;-1.1423950000000002e-09;-6.775970000000001e-10
-0.231181;-5.26397e-10;-1.198394e-09;-6.71997e-10
