Applied potential (V);WE current (A);WE current (A);WE current (A)
-0.017783200000000002;2.1279900000000002e-10;-3.35998e-10;-5.487970000000001e-10
-0.022525388;1.95999e-10;-4.0319800000000005e-10;-5.99197e-10
-0.027267574000000003;1.67999e-10;-4.64797e-10;-6.32797e-10
-0.032009762000000004;1.17599e-10;-5.15197e-10;-6.32797e-10
-0.036751948;6.159972800000001e-11;-5.655970000000001e-10;-6.27197e-10
-0.041494136;1.1199931000000001e-11;-5.935970000000001e-10;-6.047970000000001e-10
-0.046236324;-3.9199812000000006e-11;-6.103970000000001e-10;-5.71197e-10
-0.050978512000000004;-7.839968e-11;-6.047970000000001e-10;-5.26397e-10
-0.055720696;-1.0079900000000001e-10;-5.823970000000001e-10;-4.81597e-10
-0.060462884;-1.28799e-10;-5.71197e-10;-4.4239800000000003e-10
-0.065205068;-1.45599e-10;-5.31997e-10;-3.86398e-10
-0.069947256;-1.7359900000000002e-10;-4.927970000000001e-10;-3.1919800000000003e-10
-0.074689448;-2.07199e-10;-4.4799800000000004e-10;-2.40798e-10
-0.079431632;-2.40798e-10;-3.86398e-10;-1.45599e-10
-0.08417382400000001;-2.7439800000000004e-10;-3.30398e-10;-5.5999760000000004e-11
-0.08891600000000001;-3.07998e-10;-2.5199800000000004e-10;5.5999760000000004e-11
-0.093658192;-3.2479800000000004e-10;-1.67999e-10;1.56799e-10
-0.09840038400000001;-3.30398e-10;-7.279968800000001e-11;2.57598e-10
-0.103142;-3.13598e-10;3.3599856e-11;3.4719800000000003e-10
-0.107884;-2.7439800000000004e-10;1.39999e-10;4.14398e-10
-0.11262599999999999;-2.29599e-10;2.4639800000000003e-10;4.759970000000001e-10
-0.117369;-1.9039900000000003e-10;3.41598e-10;5.31997e-10
-0.122111;-1.67999e-10;4.0319800000000005e-10;5.71197e-10
-0.126853;-1.28799e-10;4.64797e-10;5.935970000000001e-10
-0.131595;-1.11999e-10;5.095970000000001e-10;6.215970000000001e-10
-0.13633699999999999;-5.5999764000000006e-11;5.43197e-10;5.99197e-10
-0.14107999999999998;0.0;5.767970000000001e-10;5.767970000000001e-10
-0.145822;4.4799832e-11;5.935970000000001e-10;5.487970000000001e-10
-0.150564;7.839968e-11;5.935970000000001e-10;5.15197e-10
-0.155306;1.0079900000000001e-10;5.767970000000001e-10;4.759970000000001e-10
